mean_1	cx	mut_pb	t_size	k	max_val
10	cxUniform	0.2	8	3	1.87505850413
10	cxUniform	0.2	8	5	1.88229906447
10	cxUniform	0.2	8	7	1.8880551833
20	cxOnePoint	0.05	2	1	1.83526143962
20	cxOnePoint	0.05	2	3	1.87023153081
20	cxOnePoint	0.05	2	5	1.87367010083
20	cxOnePoint	0.05	2	7	1.8805657587
20	cxOnePoint	0.05	4	1	1.8479878928
20	cxOnePoint	0.05	4	3	1.87255011298
20	cxOnePoint	0.05	4	5	1.87306187182
20	cxOnePoint	0.05	4	7	1.87335963358
20	cxOnePoint	0.05	6	1	1.83445777165
20	cxOnePoint	0.05	6	3	1.86632822093
20	cxOnePoint	0.05	6	5	1.88146786336
20	cxOnePoint	0.05	6	7	1.87712524708
20	cxOnePoint	0.05	8	1	1.82941435252
20	cxOnePoint	0.05	8	3	1.85718772827
20	cxOnePoint	0.05	8	5	1.8818303955
20	cxOnePoint	0.05	8	7	1.87808722728
20	cxOnePoint	0.075	2	1	1.84878122968
20	cxOnePoint	0.075	2	3	1.87302855744
20	cxOnePoint	0.075	2	5	1.88527119023
20	cxOnePoint	0.075	2	7	1.88487665057
20	cxOnePoint	0.075	4	1	1.83005844344
20	cxOnePoint	0.075	4	3	1.86841930471
20	cxOnePoint	0.075	4	5	1.87921236204
20	cxOnePoint	0.075	4	7	1.87987947604
20	cxOnePoint	0.075	6	1	1.83360287426
20	cxOnePoint	0.075	6	3	1.86524470663
20	cxOnePoint	0.075	6	5	1.86832251668
20	cxOnePoint	0.075	6	7	1.88737470899
20	cxOnePoint	0.075	8	1	1.82118220359
20	cxOnePoint	0.075	8	3	1.86983608772
20	cxOnePoint	0.075	8	5	1.87971342392
20	cxOnePoint	0.075	8	7	1.87803094541
20	cxOnePoint	0.1	2	1	1.83811270785
20	cxOnePoint	0.1	2	3	1.86783263004
20	cxOnePoint	0.1	2	5	1.88222200804
20	cxOnePoint	0.1	2	7	1.8764416141
20	cxOnePoint	0.1	4	1	1.82302476457
20	cxOnePoint	0.1	4	3	1.86606107689
20	cxOnePoint	0.1	4	5	1.86592691538
20	cxOnePoint	0.1	4	7	1.88306515367
20	cxOnePoint	0.1	6	1	1.82420040895
20	cxOnePoint	0.1	6	3	1.86296780454
20	cxOnePoint	0.1	6	5	1.8763137975
20	cxOnePoint	0.1	6	7	1.87392137634
20	cxOnePoint	0.1	8	1	1.84254838477
20	cxOnePoint	0.1	8	3	1.86963842004
20	cxOnePoint	0.1	8	5	1.87318503098
20	cxOnePoint	0.1	8	7	1.87545185705
20	cxOnePoint	0.125	2	1	1.85009077874
20	cxOnePoint	0.125	2	3	1.8732727172
20	cxOnePoint	0.125	2	5	1.87325544664
20	cxOnePoint	0.125	2	7	1.8854290239
20	cxOnePoint	0.125	4	1	1.82900653191
20	cxOnePoint	0.125	4	3	1.86843777283
20	cxOnePoint	0.125	4	5	1.87635663535
20	cxOnePoint	0.125	4	7	1.87851078641
20	cxOnePoint	0.125	6	1	1.84028833194
20	cxOnePoint	0.125	6	3	1.86822027964
20	cxOnePoint	0.125	6	5	1.86994982047
20	cxOnePoint	0.125	6	7	1.89013091761
20	cxOnePoint	0.125	8	1	1.81606284736
20	cxOnePoint	0.125	8	3	1.86512623306
20	cxOnePoint	0.125	8	5	1.87447991893
20	cxOnePoint	0.125	8	7	1.89282300122
20	cxOnePoint	0.15	2	1	1.84204255607
20	cxOnePoint	0.15	2	3	1.87637948492
20	cxOnePoint	0.15	2	5	1.88704657988
20	cxOnePoint	0.15	2	7	1.88199637085
20	cxOnePoint	0.15	4	1	1.83942272661
20	cxOnePoint	0.15	4	3	1.8794539829
20	cxOnePoint	0.15	4	5	1.87630373
20	cxOnePoint	0.15	4	7	1.87907258915
20	cxOnePoint	0.15	6	1	1.83656206506
20	cxOnePoint	0.15	6	3	1.86602256164
20	cxOnePoint	0.15	6	5	1.87571883248
20	cxOnePoint	0.15	6	7	1.8796148246
20	cxOnePoint	0.15	8	1	1.83601600641
20	cxOnePoint	0.15	8	3	1.86893298632
20	cxOnePoint	0.15	8	5	1.87581435348
20	cxOnePoint	0.15	8	7	1.87447725787
20	cxOnePoint	0.175	2	1	1.83602070679
20	cxOnePoint	0.175	2	3	1.87126561705
20	cxOnePoint	0.175	2	5	1.88927173664
20	cxOnePoint	0.175	2	7	1.88350228647
20	cxOnePoint	0.175	4	1	1.83891217094
20	cxOnePoint	0.175	4	3	1.8704722633
20	cxOnePoint	0.175	4	5	1.88046938168
20	cxOnePoint	0.175	4	7	1.88002816353
20	cxOnePoint	0.175	6	1	1.82396293289
20	cxOnePoint	0.175	6	3	1.87033594466
20	cxOnePoint	0.175	6	5	1.87614974499
20	cxOnePoint	0.175	6	7	1.88070078314
20	cxOnePoint	0.175	8	1	1.82765935457
20	cxOnePoint	0.175	8	3	1.86589821055
20	cxOnePoint	0.175	8	5	1.88016444164
20	cxOnePoint	0.175	8	7	1.87596617911
20	cxOnePoint	0.2	2	1	1.86216063949
20	cxOnePoint	0.2	2	3	1.86966646438
20	cxOnePoint	0.2	2	5	1.87703372551
20	cxOnePoint	0.2	2	7	1.88707266065
20	cxOnePoint	0.2	4	1	1.83928063542
20	cxOnePoint	0.2	4	3	1.86677836786
20	cxOnePoint	0.2	4	5	1.87860159456
20	cxOnePoint	0.2	4	7	1.88887870435
20	cxOnePoint	0.2	6	1	1.83281463643
20	cxOnePoint	0.2	6	3	1.86865276753
20	cxOnePoint	0.2	6	5	1.87290872604
20	cxOnePoint	0.2	6	7	1.87533931586
20	cxOnePoint	0.2	8	1	1.83518946286
20	cxOnePoint	0.2	8	3	1.8706694213
20	cxOnePoint	0.2	8	5	1.87157101195
20	cxOnePoint	0.2	8	7	1.87625870268
20	cxTwoPoint	0.05	2	1	1.84167539178
20	cxTwoPoint	0.05	2	3	1.87322360958
20	cxTwoPoint	0.05	2	5	1.87854083131
20	cxTwoPoint	0.05	2	7	1.87921432806
20	cxTwoPoint	0.05	4	1	1.83257428384
20	cxTwoPoint	0.05	4	3	1.86708865339
20	cxTwoPoint	0.05	4	5	1.87531123351
20	cxTwoPoint	0.05	4	7	1.87574793168
20	cxTwoPoint	0.05	6	1	1.83293826746
20	cxTwoPoint	0.05	6	3	1.86687192403
20	cxTwoPoint	0.05	6	5	1.87521809791
20	cxTwoPoint	0.05	6	7	1.88865846389
20	cxTwoPoint	0.05	8	1	1.82675722353
20	cxTwoPoint	0.05	8	3	1.86382339428
20	cxTwoPoint	0.05	8	5	1.87299911159
20	cxTwoPoint	0.05	8	7	1.88999600336
20	cxTwoPoint	0.075	2	1	1.84507848453
20	cxTwoPoint	0.075	2	3	1.87787613337
20	cxTwoPoint	0.075	2	5	1.88064722464
20	cxTwoPoint	0.075	2	7	1.88306322516
20	cxTwoPoint	0.075	4	1	1.8381640609
20	cxTwoPoint	0.075	4	3	1.86830339196
20	cxTwoPoint	0.075	4	5	1.87277877689
20	cxTwoPoint	0.075	4	7	1.87963793695
20	cxTwoPoint	0.075	6	1	1.84045172279
20	cxTwoPoint	0.075	6	3	1.87218517138
20	cxTwoPoint	0.075	6	5	1.87207325578
20	cxTwoPoint	0.075	6	7	1.88875386502
20	cxTwoPoint	0.075	8	1	1.8272974649
20	cxTwoPoint	0.075	8	3	1.86872208173
20	cxTwoPoint	0.075	8	5	1.89100650044
20	cxTwoPoint	0.075	8	7	1.88235487915
20	cxTwoPoint	0.1	2	1	1.84495946936
20	cxTwoPoint	0.1	2	3	1.88414691066
20	cxTwoPoint	0.1	2	5	1.88038385279
20	cxTwoPoint	0.1	2	7	1.88545213913
20	cxTwoPoint	0.1	4	1	1.83117975598
20	cxTwoPoint	0.1	4	3	1.86854479286
20	cxTwoPoint	0.1	4	5	1.88083869003
20	cxTwoPoint	0.1	4	7	1.88050515107
20	cxTwoPoint	0.1	6	1	1.84121228619
20	cxTwoPoint	0.1	6	3	1.87025087669
20	cxTwoPoint	0.1	6	5	1.88523391276
20	cxTwoPoint	0.1	6	7	1.88690336472
20	cxTwoPoint	0.1	8	1	1.82660234308
20	cxTwoPoint	0.1	8	3	1.86599711668
20	cxTwoPoint	0.1	8	5	1.87471719414
20	cxTwoPoint	0.1	8	7	1.89065616246
20	cxTwoPoint	0.125	2	1	1.84636940994
20	cxTwoPoint	0.125	2	3	1.87413316258
20	cxTwoPoint	0.125	2	5	1.87825371693
20	cxTwoPoint	0.125	2	7	1.88696684295
20	cxTwoPoint	0.125	4	1	1.83794838391
20	cxTwoPoint	0.125	4	3	1.87079410173
20	cxTwoPoint	0.125	4	5	1.87686409302
20	cxTwoPoint	0.125	4	7	1.87935534505
20	cxTwoPoint	0.125	6	1	1.83679933302
20	cxTwoPoint	0.125	6	3	1.87170571165
20	cxTwoPoint	0.125	6	5	1.87301687167
20	cxTwoPoint	0.125	6	7	1.87106492308
20	cxTwoPoint	0.125	8	1	1.83591061049
20	cxTwoPoint	0.125	8	3	1.8714610208
20	cxTwoPoint	0.125	8	5	1.87104193174
20	cxTwoPoint	0.125	8	7	1.87115494543
20	cxTwoPoint	0.15	2	1	1.84767278833
20	cxTwoPoint	0.15	2	3	1.88866935097
20	cxTwoPoint	0.15	2	5	1.88849475227
20	cxTwoPoint	0.15	2	7	1.88181761578
20	cxTwoPoint	0.15	4	1	1.83701844178
20	cxTwoPoint	0.15	4	3	1.87674579519
20	cxTwoPoint	0.15	4	5	1.88011673747
20	cxTwoPoint	0.15	4	7	1.88071717277
20	cxTwoPoint	0.15	6	1	1.83144089538
20	cxTwoPoint	0.15	6	3	1.87225128245
20	cxTwoPoint	0.15	6	5	1.87455792767
20	cxTwoPoint	0.15	6	7	1.87916602357
20	cxTwoPoint	0.15	8	1	1.83674633071
20	cxTwoPoint	0.15	8	3	1.87448510114
20	cxTwoPoint	0.15	8	5	1.87587696507
20	cxTwoPoint	0.15	8	7	1.87219076732
20	cxTwoPoint	0.175	2	1	1.84718293113
20	cxTwoPoint	0.175	2	3	1.88167283409
20	cxTwoPoint	0.175	2	5	1.87995532394
20	cxTwoPoint	0.175	2	7	1.88735877883
20	cxTwoPoint	0.175	4	1	1.84351884313
20	cxTwoPoint	0.175	4	3	1.8640221624
20	cxTwoPoint	0.175	4	5	1.87655796894
20	cxTwoPoint	0.175	4	7	1.87984134639
20	cxTwoPoint	0.175	6	1	1.8355491126
20	cxTwoPoint	0.175	6	3	1.86874451502
20	cxTwoPoint	0.175	6	5	1.87189148146
20	cxTwoPoint	0.175	6	7	1.88108702288
20	cxTwoPoint	0.175	8	1	1.82741262388
20	cxTwoPoint	0.175	8	3	1.86241722974
20	cxTwoPoint	0.175	8	5	1.87813041534
20	cxTwoPoint	0.175	8	7	1.88239844376
20	cxTwoPoint	0.2	2	1	1.85144663185
20	cxTwoPoint	0.2	2	3	1.87696636776
20	cxTwoPoint	0.2	2	5	1.87703118755
20	cxTwoPoint	0.2	2	7	1.88182644108
20	cxTwoPoint	0.2	4	1	1.82974472296
20	cxTwoPoint	0.2	4	3	1.87332759813
20	cxTwoPoint	0.2	4	5	1.87966383997
20	cxTwoPoint	0.2	4	7	1.89692727602
20	cxTwoPoint	0.2	6	1	1.83784993277
20	cxTwoPoint	0.2	6	3	1.87139624644
20	cxTwoPoint	0.2	6	5	1.87469869598
20	cxTwoPoint	0.2	6	7	1.87772166165
