mean_1	cx	mut_pb	t_size	max_val
30	cxUniform	0.1	4	1.95054372436
30	cxUniform	0.1	6	1.95160948013
30	cxUniform	0.1	8	1.94932486854
30	cxUniform	0.125	2	1.9528961094
30	cxUniform	0.125	4	1.95262563731
30	cxUniform	0.125	6	1.95085287851
30	cxUniform	0.125	8	1.94318996035
30	cxUniform	0.15	2	1.95015949145
30	cxUniform	0.15	4	1.95255783443
30	cxUniform	0.15	6	1.95367671171
30	cxUniform	0.15	8	1.94870408171
30	cxUniform	0.175	2	1.95252727694
30	cxUniform	0.175	4	1.95143978405
30	cxUniform	0.175	6	1.95217669691
30	cxUniform	0.175	8	1.95289004178
30	cxUniform	0.2	2	1.95177156539
30	cxUniform	0.2	4	1.94221709568
30	cxUniform	0.2	6	1.94754949149
30	cxUniform	0.2	8	1.95003244649
40	cxOnePoint	0.05	2	1.94683364674
40	cxOnePoint	0.05	4	1.93458391005
40	cxOnePoint	0.05	6	1.94429444165
40	cxOnePoint	0.05	8	1.94172873709
40	cxOnePoint	0.075	2	1.94985302563
40	cxOnePoint	0.075	4	1.94268721668
40	cxOnePoint	0.075	6	1.94249834471
40	cxOnePoint	0.075	8	1.94992978149
40	cxOnePoint	0.1	2	1.94752682568
40	cxOnePoint	0.1	4	1.94399685526
40	cxOnePoint	0.1	6	1.9402228406
40	cxOnePoint	0.1	8	1.94552893573
40	cxOnePoint	0.125	2	1.94619590649
40	cxOnePoint	0.125	4	1.94898345729
40	cxOnePoint	0.125	6	1.93941340496
40	cxOnePoint	0.125	8	1.94738495023
40	cxOnePoint	0.15	2	1.94981188661
40	cxOnePoint	0.15	4	1.94828185908
40	cxOnePoint	0.15	6	1.9434034118
40	cxOnePoint	0.15	8	1.94974755181
40	cxOnePoint	0.175	2	1.94852740718
40	cxOnePoint	0.175	4	1.94955491252
40	cxOnePoint	0.175	6	1.9334205608
40	cxOnePoint	0.175	8	1.93492707483
40	cxOnePoint	0.2	2	1.94711797408
40	cxOnePoint	0.2	4	1.95033648874
40	cxOnePoint	0.2	6	1.94724571753
40	cxOnePoint	0.2	8	1.95127054582
40	cxTwoPoint	0.05	2	1.94585311245
40	cxTwoPoint	0.05	4	1.94911211776
40	cxTwoPoint	0.05	6	1.94622545732
40	cxTwoPoint	0.05	8	1.93977993968
40	cxTwoPoint	0.075	2	1.95070365582
40	cxTwoPoint	0.075	4	1.93933270548
40	cxTwoPoint	0.075	6	1.94832661744
40	cxTwoPoint	0.075	8	1.94658760796
40	cxTwoPoint	0.1	2	1.94666914228
40	cxTwoPoint	0.1	4	1.94661728975
40	cxTwoPoint	0.1	6	1.94244460872
40	cxTwoPoint	0.1	8	1.93983796766
40	cxTwoPoint	0.125	2	1.94973947809
40	cxTwoPoint	0.125	4	1.94897065896
40	cxTwoPoint	0.125	6	1.94669833452
40	cxTwoPoint	0.125	8	1.94313275083
40	cxTwoPoint	0.15	2	1.94849511626
40	cxTwoPoint	0.15	4	1.94780979364
40	cxTwoPoint	0.15	6	1.93711290833
40	cxTwoPoint	0.15	8	1.94367908658
40	cxTwoPoint	0.175	2	1.95059220744
40	cxTwoPoint	0.175	4	1.94657777723
40	cxTwoPoint	0.175	6	1.94940808079
40	cxTwoPoint	0.175	8	1.93681848467
40	cxTwoPoint	0.2	2	1.9481394403
40	cxTwoPoint	0.2	4	1.94676414288
40	cxTwoPoint	0.2	6	1.94066707479
40	cxTwoPoint	0.2	8	1.94607263105
40	cxUniform	0.05	2	1.95158216535
40	cxUniform	0.05	4	1.94902987839
40	cxUniform	0.05	6	1.94611898818
40	cxUniform	0.05	8	1.94673936108
40	cxUniform	0.075	2	1.95073532621
40	cxUniform	0.075	4	1.95133539772
40	cxUniform	0.075	6	1.94950183484
40	cxUniform	0.075	8	1.94823353161
40	cxUniform	0.1	2	1.95264699548
40	cxUniform	0.1	4	1.94881025045
40	cxUniform	0.1	6	1.95078025097
40	cxUniform	0.1	8	1.94604378594
40	cxUniform	0.125	2	1.95006204308
40	cxUniform	0.125	4	1.94913113631
40	cxUniform	0.125	6	1.95040750197
40	cxUniform	0.125	8	1.94631627523
40	cxUniform	0.15	2	1.95074446489
40	cxUniform	0.15	4	1.9519123878
40	cxUniform	0.15	6	1.95016042379
40	cxUniform	0.15	8	1.9504759609
40	cxUniform	0.175	2	1.95139995763
40	cxUniform	0.175	4	1.95108338347
40	cxUniform	0.175	6	1.94986567827
40	cxUniform	0.175	8	1.9473704593
40	cxUniform	0.2	2	1.95074934357
40	cxUniform	0.2	4	1.95068697095
40	cxUniform	0.2	6	1.94805748185
40	cxUniform	0.2	8	1.95081696175
50	cxOnePoint	0.05	2	1.9471002927
50	cxOnePoint	0.05	4	1.93924673366
50	cxOnePoint	0.05	6	1.94489816438
50	cxOnePoint	0.05	8	1.93684804743
50	cxOnePoint	0.075	2	1.94121260177
50	cxOnePoint	0.075	4	1.93661802983
50	cxOnePoint	0.075	6	1.94079929414
50	cxOnePoint	0.075	8	1.94190519879
50	cxOnePoint	0.1	2	1.94867211355
50	cxOnePoint	0.1	4	1.94430650907
50	cxOnePoint	0.1	6	1.94850746115
50	cxOnePoint	0.1	8	1.94237141535
50	cxOnePoint	0.125	2	1.94326051628
50	cxOnePoint	0.125	4	1.94459282824
50	cxOnePoint	0.125	6	1.94445724922
50	cxOnePoint	0.125	8	1.94227370071
50	cxOnePoint	0.15	2	1.94984015135
50	cxOnePoint	0.15	4	1.9462340596
50	cxOnePoint	0.15	6	1.93926692647
50	cxOnePoint	0.15	8	1.93533928007
50	cxOnePoint	0.175	2	1.94379234059
50	cxOnePoint	0.175	4	1.9500882107
50	cxOnePoint	0.175	6	1.94706963679
50	cxOnePoint	0.175	8	1.94564070363
50	cxOnePoint	0.2	2	1.95071040463
50	cxOnePoint	0.2	4	1.95070974736
50	cxOnePoint	0.2	6	1.94907265896
50	cxOnePoint	0.2	8	1.94603993812
50	cxTwoPoint	0.05	2	1.94560259525
50	cxTwoPoint	0.05	4	1.94389705315
50	cxTwoPoint	0.05	6	1.94088948794
50	cxTwoPoint	0.05	8	1.9444229111
50	cxTwoPoint	0.075	2	1.95013435364
50	cxTwoPoint	0.075	4	1.94881963964
50	cxTwoPoint	0.075	6	1.94031258476
50	cxTwoPoint	0.075	8	1.94570945405
